PRODUCT_TYPE,PRODUCT_ID,PARENT_ID,SKU,PRODUCT_NAME,PRODUCT_SUMMARY,PRODUCT_DESCRIPTION,ORIGINAL_PRICE,SELLING_PRICE,PRICE_RANGE,BRAND,VARIANT_COLOR,VARIANT_SIZE,VARIANT_FIT,Color,THUMBNAIL_IMAGES,FULL_SIZE_IMAGES,ACTIVE,PUBLISHED,COLLECTIONS,Gender,Details,Fabric,Measurements,Season,variantPosition
VARIANT,BR1025BROS,BR1025,BR1025BROS,Beidleman S,Mens belts,"Versatile and easy to wear, this handsome belt cinches smartly with a neatly polished pin buckle.",30,30,0-49.99,Aldo,Brown||#753e2f|Brown,S,,Brown,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1025BRO/apparelProductCatalog_BR1025BRO_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1025BRO/apparelProductCatalog_BR1025BRO_1.jpg,TRUE,TRUE,,MALE,Mens belts,,,,0
VARIANT,BR1025BROM,BR1025,BR1025BROM,Beidleman M,Mens belts,"Versatile and easy to wear, this handsome belt cinches smartly with a neatly polished pin buckle.",30,30,0-49.99,Aldo,Brown||#753e2f|Brown,M,,Brown,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1025BRO/apparelProductCatalog_BR1025BRO_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1025BRO/apparelProductCatalog_BR1025BRO_1.jpg,TRUE,TRUE,,MALE,Mens belts,,,,1
VARIANT,BR1025BROL,BR1025,BR1025BROL,Beidleman L,Mens belts,"Versatile and easy to wear, this handsome belt cinches smartly with a neatly polished pin buckle.",30,30,0-49.99,Aldo,Brown||#753e2f|Brown,L,,Brown,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1025BRO/apparelProductCatalog_BR1025BRO_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1025BRO/apparelProductCatalog_BR1025BRO_1.jpg,TRUE,TRUE,,MALE,Mens belts,,,,2
VARIANT,BR1025BLAS,BR1025,BR1025BLAS,Beidleman S,Mens belts,"Versatile and easy to wear, this handsome belt cinches smartly with a neatly polished pin buckle.",30,30,0-49.99,Aldo,Black||#000000|Black,S,,Black,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1025BLA/apparelProductCatalog_BR1025BLA_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1025BLA/apparelProductCatalog_BR1025BLA_1.jpg,TRUE,TRUE,,MALE,Mens belts,,,,3
VARIANT,BR1025BLAM,BR1025,BR1025BLAM,Beidleman M,Mens belts,"Versatile and easy to wear, this handsome belt cinches smartly with a neatly polished pin buckle.",30,30,0-49.99,Aldo,Black||#000000|Black,M,,Black,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1025BLA/apparelProductCatalog_BR1025BLA_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1025BLA/apparelProductCatalog_BR1025BLA_1.jpg,TRUE,TRUE,,MALE,Mens belts,,,,4
VARIANT,BR1025BLAL,BR1025,BR1025BLAL,Beidleman L,Mens belts,"Versatile and easy to wear, this handsome belt cinches smartly with a neatly polished pin buckle.",30,30,0-49.99,Aldo,Black||#000000|Black,L,,Black,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1025BLA/apparelProductCatalog_BR1025BLA_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1025BLA/apparelProductCatalog_BR1025BLA_1.jpg,TRUE,TRUE,,MALE,Mens belts,,,,5
PARENT,BR1025,,BR1025,Beidleman,Mens belts,"Versatile and easy to wear, this handsome belt cinches smartly with a neatly polished pin buckle.",30,30,0-49.99,Aldo,Brown||#753e2f|Brown,,,Brown,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1025BLA/apparelProductCatalog_BR1025BLA_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1025BLA/apparelProductCatalog_BR1025BLA_1.jpg,TRUE,TRUE,stylish_men_outfit,MALE,Mens belts,,,,
COLLECTION,stylish_men_outfit,,stylish_men_outfit,Stylish Men Outfit Collection,,Bored with typical men style? Check out Stylish Men Outfit Collection! Simplicity combined with elegance will surely appeal to every man. Ideal option to go both to an important meeting at work and a casual meeting with friends.,,,,Aldo,,,,,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/collections/stylish_men_outfit.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/collections/stylish_men_outfit.jpg,TRUE,TRUE,,,,,,,
COLLECTION,casual_woman,,casual_woman,Casual Woman Collection,,Bored with women's everyday clothes? Check out our Casual Woman Collection! The collection will help you in your daily life. You can wear the collection in summer and also in the autumn.,,,,Aldo,,,,,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/collections/casual_woman.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/collections/casual_woman.jpg,TRUE,TRUE,,,,,,,
COLLECTION,elegant_woman,,elegant_woman,Elegant Woman Collection,,Bored with typical elegant woman style? Check out Elegant Woman Outfit Collection! Simplicity combined with elegance will surely appeal to every women. Ideal option to go both to an important meeting at work or another business meeting.,,,,Aldo,,,,,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/collections/elegant_woman.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/collections/elegant_woman.jpg,TRUE,TRUE,,,,,,,
